Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPX251121C06130000,6/3/2025 12:04 PM,6130,234.10,238.30,239.70,0.00,0.00%,1,2,18.88%
SPX251121C06140000,5/23/2025 11:09 AM,6140,166.90,232.70,234.10,0.00,0.00%,1,1,18.78%
SPX251121C06150000,6/3/2025 12:34 PM,6150,227.22,227.30,228.40,0.00,0.00%,10,"6,287",18.66%
SPX251121C06160000,5/30/2025 10:22 AM,6160,193.70,221.00,222.30,0.00,0.00%,50,54,18.52%
SPX251121C06170000,5/30/2025 3:38 PM,6170,194.90,215.80,217.10,0.00,0.00%,16,30,18.43%
SPX251121C06175000,6/3/2025 10:25 AM,6175,198.57,213.50,214.70,0.00,0.00%,1,431,18.40%
SPX251121C06180000,5/29/2025 1:46 PM,6180,184.40,210.00,211.30,0.00,0.00%,-,17,18.30%
SPX251121C06190000,5/15/2025 3:45 PM,6190,186.20,204.40,205.80,0.00,0.00%,-,1,18.19%
SPX251121C06200000,6/3/2025 1:51 PM,6200,199.40,199.20,200.60,0.00,0.00%,4,"3,358",18.09%
SPX251121C06210000,6/4/2025 9:55 AM,6210,198.01,194.50,195.90,14.75,8.05%,68,1,18.01%
SPX251121C06220000,6/2/2025 11:22 AM,6220,158.87,189.30,190.50,0.00,0.00%,3,7,17.89%
SPX251121C06225000,5/15/2025 3:45 PM,6225,169.70,186.30,187.60,0.00,0.00%,2,767,17.82%
SPX251121C06230000,6/3/2025 2:17 PM,6230,178.02,184.10,185.40,0.00,0.00%,96,161,17.79%
SPX251121C06240000,5/27/2025 3:39 AM,6240,153.70,178.60,180.00,0.00,0.00%,1,2,17.66%
SPX251121C06250000,6/3/2025 3:36 PM,6250,173.15,173.70,174.90,0.00,0.00%,154,"1,740",17.55%
SPX251121C06275000,6/3/2025 3:20 PM,6275,160.19,162.00,163.30,0.00,0.00%,40,933,17.32%
SPX251121C06300000,6/4/2025 9:52 AM,6300,152.54,150.80,151.80,2.99,2.00%,2,"2,959",17.07%
SPX251121C06325000,6/3/2025 2:22 PM,6325,136.45,139.50,140.70,0.00,0.00%,14,"1,040",16.83%
SPX251121C06350000,6/3/2025 2:24 PM,6350,126.04,128.40,129.60,0.00,0.00%,61,"1,605",16.55%
SPX251121C06375000,6/4/2025 5:50 AM,6375,119.38,119.00,120.00,1.65,1.40%,35,785,16.35%
SPX251121C06400000,6/4/2025 11:17 AM,6400,110.20,109.40,110.40,1.90,1.75%,290,"4,809",16.12%
SPX251121C06425000,6/4/2025 5:50 AM,6425,102.20,100.00,101.10,3.20,3.23%,2,"2,230",15.88%
SPX251121C06450000,6/4/2025 5:51 AM,6450,93.60,92.00,92.90,3.25,3.60%,2,761,15.70%
SPX251121C06475000,6/3/2025 1:50 PM,6475,85.50,83.80,84.90,1.50,1.79%,2,278,15.49%
SPX251121C06500000,6/4/2025 11:20 AM,6500,78.77,76.80,77.70,3.67,4.89%,140,"6,691",15.32%
SPX251121C06525000,6/4/2025 10:16 AM,6525,70.90,69.90,70.80,0.60,0.85%,1,263,15.14%
SPX251121C06550000,6/4/2025 10:16 AM,6550,64.40,63.10,64.20,2.12,3.40%,1,"1,218",14.95%
SPX251121C06575000,6/4/2025 10:17 AM,6575,58.40,57.20,58.20,2.45,4.38%,1,277,14.78%
SPX251121C06600000,6/3/2025 3:40 PM,6600,51.45,51.90,52.70,0.00,0.00%,75,"4,776",14.63%
SPX251121C06625000,6/2/2025 11:19 AM,6625,36.45,46.90,47.70,0.00,0.00%,2,522,14.48%
SPX251121C06650000,6/2/2025 4:09 PM,6650,37.20,42.30,43.10,0.00,0.00%,118,910,14.35%
SPX251121C06675000,6/2/2025 2:38 PM,6675,31.82,38.00,38.80,0.00,0.00%,23,908,14.21%
SPX251121C06700000,6/3/2025 11:30 AM,6700,32.10,34.20,35.00,0.00,0.00%,39,"1,390",14.10%
SPX251121C06725000,5/27/2025 12:05 PM,6725,27.07,30.60,31.30,0.00,0.00%,2,4,13.97%
SPX251121C06750000,5/29/2025 10:38 AM,6750,24.86,27.40,28.20,0.00,0.00%,1,517,13.87%
SPX251121C06800000,6/4/2025 10:08 AM,6800,21.40,21.80,22.50,3.60,20.22%,2,"1,929",13.66%
